Guideline,Section,Topic,Control identifier,Control description
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security personnel,0717,The CISO oversees the management of cyber security personnel within their organisation.
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security awareness raising,0735,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program."
Guidelines for Cyber Security Roles,System owners,System ownership and oversight,1071,Each system has a designated system owner.
Guidelines for Cyber Security Roles,System owners,System ownership and oversight,1525,System owners register each system with its authorising officer.
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,1633,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised."
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,1634,System owners select controls for each system and tailor them to achieve desired security objectives.
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,1635,System owners implement controls for each system and its operating environment.
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,1636,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,0027,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,1526,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis."
Guidelines for Cyber Security Roles,System owners,Annual reporting of system security status,1587,System owners report the security status of each system to its authorising officer at least annually.
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Incident management policy,0576,"An incident management policy, and associated incident response plan, is developed, implemented and maintained."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Incident management policy,1784,"The incident management policy, including the associated incident response plan, is exercised at least annually."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident register,0125,"A cyber security incident register is developed, implemented and maintained."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident register,1803,"A cyber security incident register contains the following for each cyber security incident:
• the date the cyber security incident occurred
• the date the cyber security incident was discovered
• a description of the cyber security incident
• any actions taken in response to the cyber security incident
• to whom the cyber security incident was reported."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Trusted insider program,1625,"A trusted insider program is developed, implemented and maintained."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Trusted insider program,1626,Legal advice is sought regarding the development and implementation of a trusted insider program.
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Access to sufficient data sources and tools,0120,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents,0123,"Cyber security incidents are reported to an organisation’s Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered."
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents to the ACSC,0140,Cyber security incidents are reported to the ACSC.
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Enacting incident response plans,1819,"Following the identification of a cyber security incident, an organisation’s incident response plan is enacted."
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing data spills,0133,"When a data spill occurs, data owners are advised and access to the data is restricted."
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing malicious code infections,0917,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus software is used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt."
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,0137,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,1609,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,1731,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,1732,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage."
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,1213,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether the adversary has been successfully removed from the system."
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Maintaining the integrity of evidence,0138,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1631,"Suppliers of applications, ICT equipment and services associated with systems are identified."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1452,"A supply chain risk assessment is performed for suppliers of applications, ICT equipment and services in order to assess the impact to a system’s security risk profile."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1567,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1568,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to the security of their products and services."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1632,"Applications, ICT equipment and services are chosen from suppliers that have a strong track record of transparency and maintaining the security of their own systems and cyber supply chains."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,1569,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Supplier relationship management,1785,"A supplier relationship management policy is developed, implemented and maintained."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Supplier relationship management,1786,"An approved supplier list is developed, implemented and maintained."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",1787,"Applications, ICT equipment and services are sourced from approved suppliers."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",1788,"Multiple potential suppliers are identified for sourcing critical applications, ICT equipment and services."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",1789,Sufficient spares of critical ICT equipment are sourced and kept in reserve.
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",1790,"Applications, ICT equipment and services are delivered in a manner that maintains their integrity."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",1791,"The integrity of applications, ICT equipment and services are assessed as part of acceptance of products and services."
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",1792,"The authenticity of applications, ICT equipment and services are assessed as part of acceptance of products and services."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Managed services,1736,"A managed service register is developed, implemented, maintained and verified on a regular basis."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Managed services,1737,"A managed service register contains the following for each managed service:
• managed service provider’s name
• managed service’s name
• purpose for using the managed service
• sensitivity or classification of data involved
• due date for the next security assessment of the managed service
• contractual arrangements for the managed service
• point of contact for users of the managed service
• 24/7 contact details for the managed service provider."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Assessment of managed service providers,1793,Managed service providers and their managed services undergo a security assessment by an IRAP assessor at least every 24 months.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Outsourced cloud services,1637,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Outsourced cloud services,1638,"An outsourced cloud service register contains the following for each outsourced cloud service:
• cloud service provider’s name
• cloud service’s name
• purpose for using the cloud service
• sensitivity or classification of data involved
• due date for the next security assessment of the cloud service
• contractual arrangements for the cloud service
• point of contact for users of the cloud service
• 24/7 contact details for the cloud service provider."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Assessment of outsourced cloud service providers,1570,Outsourced cloud service providers and their cloud services undergo a security assessment by an IRAP assessor at least every 24 months.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1395,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,0072,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1571,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1738,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1804,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,0141,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1794,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1451,Types of data and its ownership is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1572,"The regions or availability zones where data will be processed, stored and communicated is documented in contractual arrangements with service providers."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1573,Access to all logs relating to an organisation’s data and services is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1574,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers."
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,1575,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Access to systems and data by service providers,1073,An organisation’s systems and data are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Access to systems and data by service providers,1576,"If an organisation’s systems or data are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified."
Guidelines for Security Documentation,Development and maintenance of security documentation,Cyber security strategy,0039,"A cyber security strategy is developed, implemented and maintained."
Guidelines for Security Documentation,Development and maintenance of security documentation,Approval of security documentation,0047,Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system’s authorising officer.
Guidelines for Security Documentation,Development and maintenance of security documentation,Approval of security documentation,1739,A system’s security architecture is approved prior to the development of the system.
Guidelines for Security Documentation,Development and maintenance of security documentation,Maintenance of security documentation,0888,Security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.
Guidelines for Security Documentation,Development and maintenance of security documentation,Communication of security documentation,1602,"Security documentation, including notification of subsequent changes, is communicated to all stakeholders."
Guidelines for Security Documentation,System-specific security documentation,System security plan,0041,Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified.
Guidelines for Security Documentation,System-specific security documentation,Incident response plan,0043,"Systems have an incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Cyber Security Centre or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document."
Guidelines for Security Documentation,System-specific security documentation,Continuous monitoring plan,1163,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least monthly
• conducting vulnerability assessments or penetration tests for systems at least annually
• analysing identified security vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost."
Guidelines for Security Documentation,System-specific security documentation,Security assessment report,1563,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions."
Guidelines for Security Documentation,System-specific security documentation,Plan of action and milestones,1564,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner."
Guidelines for Physical Security,Facilities and systems,Physical access to systems,0810,Systems are secured in facilities that meet the requirements for a security zone suitable for their sensitivity or classification.
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",1053,"Servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their sensitivity or classification."
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",1530,"Servers, network devices and cryptographic equipment are secured in security containers or secure rooms suitable for their sensitivity or classification taking into account the combination of security zones they reside in."
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",0813,"Server rooms, communications rooms, security containers and secure rooms are not left in unsecured states."
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",1074,"Keys or equivalent access mechanisms to server rooms, communications rooms, security containers and secure rooms are appropriately controlled."
Guidelines for Physical Security,Facilities and systems,Physical access to network devices in public areas,1296,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.
Guidelines for Physical Security,Facilities and systems,Preventing observation by unauthorised people,0164,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
Guidelines for Physical Security,ICT equipment and media,Securing ICT equipment and media,0161,ICT equipment and media are secured when not in use.
Guidelines for Personnel Security,Cyber security awareness training,Providing cyber security awareness training,0252,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources."
Guidelines for Personnel Security,Cyber security awareness training,Providing cyber security awareness training,1565,Tailored privileged user training is undertaken annually by all privileged users.
Guidelines for Personnel Security,Cyber security awareness training,Managing and reporting suspicious changes to banking details or payment requests,1740,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it."
Guidelines for Personnel Security,Cyber security awareness training,Reporting suspicious contact via online services,0817,Personnel are advised of what suspicious contact via online services is and how to report it.
Guidelines for Personnel Security,Cyber security awareness training,Posting work information to online services,0820,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.
Guidelines for Personnel Security,Cyber security awareness training,Posting work information to online services,1146,Personnel are advised to maintain separate work and personal accounts for online services.
Guidelines for Personnel Security,Cyber security awareness training,Posting personal information to online services,0821,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.
Guidelines for Personnel Security,Cyber security awareness training,Sending and receiving files via online services,0824,Personnel are advised not to send or receive files via unauthorised online services.
Guidelines for Personnel Security,Access to systems and their resources,System access requirements,0432,Access requirements for a system and its resources are documented in its system security plan.
Guidelines for Personnel Security,Access to systems and their resources,System access requirements,0434,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to a system and its resources."
Guidelines for Personnel Security,Access to systems and their resources,System access requirements,0435,Personnel receive any necessary briefings before being granted access to a system and its resources.
Guidelines for Personnel Security,Access to systems and their resources,User identification,0414,Personnel granted access to a system and its resources are uniquely identifiable.
Guidelines for Personnel Security,Access to systems and their resources,User identification,0415,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable."
Guidelines for Personnel Security,Access to systems and their resources,User identification,1583,Personnel who are contractors are identified as such.
Guidelines for Personnel Security,Access to systems and their resources,Unprivileged access to systems,0405,"Requests for unprivileged access to systems, applications and data repositories are validated when first requested."
Guidelines for Personnel Security,Access to systems and their resources,Unprivileged access to systems,1566,Use of unprivileged access is logged.
Guidelines for Personnel Security,Access to systems and their resources,Unprivileged access to systems,1714,Unprivileged access event logs are stored centrally.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1507,Requests for privileged access to systems and applications are validated when first requested.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1733,Requests for privileged access to data repositories are validated when first requested.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1508,Privileged access to systems and applications is limited to only what is required for users and services to undertake their duties.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1175,"Privileged user accounts are prevented from accessing the internet, email and web services."
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1653,"Privileged service accounts are prevented from accessing the internet, email and web services."
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1649,Just-in-time administration is used for administering systems and applications.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,0445,Privileged users are assigned a dedicated privileged account to be used solely for tasks requiring privileged access.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1263,Unique privileged accounts are used for administering individual server applications.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1509,Privileged access events are logged.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1651,Privileged access event logs are stored centrally.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1650,Privileged account and group management events are logged.
Guidelines for Personnel Security,Access to systems and their resources,Privileged access to systems,1652,Privileged account and group management event logs are stored centrally.
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,0430,"Access to systems, applications and data repositories is removed or suspended on the same day personnel no longer have a legitimate requirement for access."
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1591,"Access to systems, applications and data repositories is removed or suspended as soon as practicable when personnel are detected undertaking malicious activities."
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1404,Unprivileged access to systems and applications is automatically disabled after 45 days of inactivity.
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1648,Privileged access to systems and applications is automatically disabled after 45 days of inactivity.
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1716,Access to data repositories is automatically disabled after 45 days of inactivity.
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1647,Privileged access to systems and applications is automatically disabled after 12 months unless revalidated.
Guidelines for Personnel Security,Access to systems and their resources,Suspension of access to systems,1734,Privileged access to data repositories is automatically disabled after 12 months unless revalidated.
Guidelines for Personnel Security,Access to systems and their resources,Recording authorisation for personnel to access systems,0407,"A secure record is maintained for the life of each system covering:
• all personnel authorised to access the system, and their user identification
• who provided authorisation for access
• when access was granted
• the level of access that was granted
• when access, and the level of access, was last reviewed
• when the level of access was changed, and to what extent (if applicable)
• when access was withdrawn (if applicable)."
Guidelines for Personnel Security,Access to systems and their resources,Temporary access to systems,0441,"When personnel are granted temporary access to a system, effective controls are put in place to restrict their access to only data required for them to undertake their duties."
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1610,A method of emergency access to systems is documented and tested at least once when initially implemented and each time fundamental information technology infrastructure changes occur.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1611,Break glass accounts are only used when normal authentication processes cannot be used.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1612,Break glass accounts are only used for specific authorised activities.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1614,Break glass account credentials are changed by the account custodian after they are accessed by any other party.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1615,Break glass accounts are tested after credentials are changed.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1613,Use of break glass accounts is logged.
Guidelines for Personnel Security,Access to systems and their resources,Emergency access to systems,1715,Break glass event logs are stored centrally.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cabling infrastructure standards,0181,"Cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority."
Guidelines for Communications Infrastructure,Cabling infrastructure,Use of fibre-optic cables,1111,Fibre-optic cables are used for cabling infrastructure instead of copper cables.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable register,0211,"A cable register is developed, implemented, maintained and verified on a regular basis."
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable register,0208,"A cable register contains the following for each cable:
• cable identifier
• cable colour
• sensitivity/classification
• source
• destination
• location
• seal numbers (if applicable)."
Guidelines for Communications Infrastructure,Cabling infrastructure,Floor plan diagrams,1645,"Floor plan diagrams are developed, implemented, maintained and verified on a regular basis."
Guidelines for Communications Infrastructure,Cabling infrastructure,Floor plan diagrams,1646,"Floor plan diagrams contain the following:
• cable paths (including ingress and egress points between floors)
• cable reticulation system and conduit paths
• floor concentration boxes
• wall outlet boxes
• network cabinets."
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable labelling processes and procedures,0206,"Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
Guidelines for Communications Infrastructure,Cabling infrastructure,Labelling cables,1096,Cables are labelled at each end with sufficient source and destination details to enable the physical identification and inspection of the cable.
Guidelines for Communications Infrastructure,Cabling infrastructure,Labelling building management cables,1639,"Building management cables are labelled with their purpose in black writing on a yellow background, with a minimum size of 2.5 cm x 1 cm, and attached at five-metre intervals."
Guidelines for Communications Infrastructure,Cabling infrastructure,Labelling cables for foreign systems in Australian facilities,1640,Cables for foreign systems installed in Australian facilities are labelled at inspection points.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable colours,1820,Cables for individual systems use a consistent colour.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable colours,0926,OFFICIAL and PROTECTED cables are coloured neither salmon pink nor red.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable inspectability,1112,Cables are inspectable at a minimum of five-metre intervals.
Guidelines for Communications Infrastructure,Cabling infrastructure,Cable inspectability,1119,Cables in TOP SECRET areas are fully inspectable for their entire length.
Guidelines for Communications Infrastructure,Cabling infrastructure,Common cable reticulation systems,1114,Cable bundles or conduits sharing a common cable reticulation system have a dividing partition or visible gap between each cable bundle and conduit.
Guidelines for Communications Infrastructure,Cabling infrastructure,Enclosed cable reticulation systems,1130,"In shared facilities, cables are run in an enclosed cable reticulation system."
Guidelines for Communications Infrastructure,Cabling infrastructure,Covers for enclosed cable reticulation systems,1164,"In shared facilities, conduits or the front covers of ducts, cable trays in floors and ceilings, and associated fittings are clear plastic."
Guidelines for Communications Infrastructure,Cabling infrastructure,Cables in walls,1115,Cables from cable trays to wall outlet boxes are run in flexible or plastic conduit.
Guidelines for Communications Infrastructure,Cabling infrastructure,Labelling wall outlet boxes,1095,"Wall outlet boxes denote the systems, cable identifiers and wall outlet box identifier."
Guidelines for Communications Infrastructure,Cabling infrastructure,Wall outlet box colours,1822,Wall outlet boxes for individual systems use a consistent colour.
Guidelines for Communications Infrastructure,Cabling infrastructure,Wall outlet box colours,1107,OFFICIAL and PROTECTED wall outlet boxes are coloured neither salmon pink nor red.
Guidelines for Communications Infrastructure,Cabling infrastructure,Wall outlet box covers,1109,Wall outlet box covers are clear plastic.
Guidelines for Communications Infrastructure,Cabling infrastructure,Connecting cable reticulation systems to cabinets,1102,Cable reticulation systems leading into cabinets are terminated as close as possible to the cabinet.
Guidelines for Communications Infrastructure,Cabling infrastructure,Connecting cable reticulation systems to cabinets,1101,"In TOP SECRET areas, cable reticulation systems leading into cabinets in server rooms or communications rooms are terminated as close as possible to the cabinet."
Guidelines for Communications Infrastructure,Cabling infrastructure,Connecting cable reticulation systems to cabinets,1103,"In TOP SECRET areas, cable reticulation systems leading into cabinets not in server rooms or communications rooms are terminated at the boundary of the cabinet."
Guidelines for Communications Infrastructure,Emanation security,Emanation security threat assessments in Australia,0248,System owners deploying OFFICIAL or PROTECTED systems with Radio Frequency transmitters that will be co-located with SECRET or TOP SECRET systems contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
Guidelines for Communications Infrastructure,Emanation security,Emanation security threat assessments outside Australia,0249,System owners deploying systems or military platforms overseas contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
Guidelines for Communications Infrastructure,Emanation security,Early consideration of emanation security threats,0246,An emanation security threat assessment is sought as early as possible in a system’s life cycle as implementing emanation security can have significant cost implications.
Guidelines for Communications Infrastructure,Emanation security,Electromagnetic interference/electromagnetic compatibility standards,0250,ICT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.
Guidelines for Communications Systems,Telephone systems,Telephone system usage policy,1078,"A telephone system usage policy is developed, implemented and maintained."
Guidelines for Communications Systems,Telephone systems,Personnel awareness,0229,Personnel are advised of the permitted sensitivity or classification of information that can be discussed over both internal and external telephone systems.
Guidelines for Communications Systems,Telephone systems,Personnel awareness,0230,Personnel are advised of security risks posed by non-secure telephone systems in areas where sensitive or classified conversations can occur.
Guidelines for Communications Systems,Telephone systems,Personnel awareness,0231,"When using cryptographic equipment to permit different levels of conversation for different kinds of connections, telephone systems give a visual indication of what kind of connection has been made."
Guidelines for Communications Systems,Telephone systems,Protecting conversations,0232,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
Guidelines for Communications Systems,Telephone systems,Cordless telephone systems,0233,Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted.
Guidelines for Communications Systems,Telephone systems,Speakerphones,0235,"Speakerphones are not used on telephone systems in TOP SECRET areas unless the telephone system is located in an audio secure room, the room is audio secure during conversations and only personnel involved in conversations are present in the room."
