instruction,input,output
"In the ACSC ISM, What is control identitifer ISM-1789?",,Sufficient spares of critical ICT equipment are sourced and kept in reserve.
"In the ACSC ISM, What is control identitifer ISM-1790?",,"Applications, ICT equipment and services are delivered in a manner that maintains their integrity."
"In the ACSC ISM, What is control identitifer ISM-1791?",,"The integrity of applications, ICT equipment and services are assessed as part of acceptance of products and services."
"In the ACSC ISM, What is control identitifer ISM-1792?",,"The authenticity of applications, ICT equipment and services are assessed as part of acceptance of products and services."
"In the ACSC ISM, What is control identitifer ISM-1736?",,"A managed service register is developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-1737?",,"A managed service register contains the following for each managed service:
• managed service provider’s name
• managed service’s name
• purpose for using the managed service
• sensitivity or classification of data involved
• due date for the next security assessment of the managed service
• contractual arrangements for the managed service
• point of contact for users of the managed service
• 24/7 contact details for the managed service provider."
"In the ACSC ISM, What is control identitifer ISM-1793?",,Managed service providers and their managed services undergo a security assessment by an IRAP assessor at least every 24 months.
"In the ACSC ISM, What is control identitifer ISM-1637?",,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-1638?",,"An outsourced cloud service register contains the following for each outsourced cloud service:
• cloud service provider’s name
• cloud service’s name
• purpose for using the cloud service
• sensitivity or classification of data involved
• due date for the next security assessment of the cloud service
• contractual arrangements for the cloud service
• point of contact for users of the cloud service
• 24/7 contact details for the cloud service provider."
"In the ACSC ISM, What is control identitifer ISM-1570?",,Outsourced cloud service providers and their cloud services undergo a security assessment by an IRAP assessor at least every 24 months.
"In the ACSC ISM, What is control identitifer ISM-1395?",,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services."
"In the ACSC ISM, What is control identitifer ISM-0072?",,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose."
"In the ACSC ISM, What is control identitifer ISM-1571?",,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1738?",,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.
"In the ACSC ISM, What is control identitifer ISM-1804?",,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-0141?",,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1794?",,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1451?",,Types of data and its ownership is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1572?",,"The regions or availability zones where data will be processed, stored and communicated is documented in contractual arrangements with service providers."
"In the ACSC ISM, What is control identitifer ISM-1573?",,Access to all logs relating to an organisation’s data and services is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1574?",,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers."
"In the ACSC ISM, What is control identitifer ISM-1575?",,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.
"In the ACSC ISM, What is control identitifer ISM-1073?",,An organisation’s systems and data are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.
"In the ACSC ISM, What is control identitifer ISM-1576?",,"If an organisation’s systems or data are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified."
"In the ACSC ISM, What is control identitifer ISM-0039?",,"A cyber security strategy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-0047?",,Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system’s authorising officer.
"In the ACSC ISM, What is control identitifer ISM-1739?",,A system’s security architecture is approved prior to the development of the system.
"In the ACSC ISM, What is control identitifer ISM-0888?",,Security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.
"In the ACSC ISM, What is control identitifer ISM-1602?",,"Security documentation, including notification of subsequent changes, is communicated to all stakeholders."
"In the ACSC ISM, What is control identitifer ISM-0041?",,Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified.
"In the ACSC ISM, What is control identitifer ISM-0043?",,"Systems have an incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Cyber Security Centre or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document."
"In the ACSC ISM, What is control identitifer ISM-1163?",,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least monthly
• conducting vulnerability assessments or penetration tests for systems at least annually
• analysing identified security vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost."
"In the ACSC ISM, What is control identitifer ISM-1563?",,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions."
"In the ACSC ISM, What is control identitifer ISM-1564?",,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner."
"In the ACSC ISM, What is control identitifer ISM-0810?",,Systems are secured in facilities that meet the requirements for a security zone suitable for their sensitivity or classification.
"In the ACSC ISM, What is control identitifer ISM-1053?",,"Servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their sensitivity or classification."
"In the ACSC ISM, What is control identitifer ISM-1530?",,"Servers, network devices and cryptographic equipment are secured in security containers or secure rooms suitable for their sensitivity or classification taking into account the combination of security zones they reside in."
"In the ACSC ISM, What is control identitifer ISM-0813?",,"Server rooms, communications rooms, security containers and secure rooms are not left in unsecured states."
"In the ACSC ISM, What is control identitifer ISM-1074?",,"Keys or equivalent access mechanisms to server rooms, communications rooms, security containers and secure rooms are appropriately controlled."
"In the ACSC ISM, What is control identitifer ISM-1296?",,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.
"In the ACSC ISM, What is control identitifer ISM-0164?",,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
"In the ACSC ISM, What is control identitifer ISM-0161?",,ICT equipment and media are secured when not in use.
"In the ACSC ISM, What is control identitifer ISM-0252?",,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources."
"In the ACSC ISM, What is control identitifer ISM-1565?",,Tailored privileged user training is undertaken annually by all privileged users.
"In the ACSC ISM, What is control identitifer ISM-1740?",,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it."
"In the ACSC ISM, What is control identitifer ISM-0817?",,Personnel are advised of what suspicious contact via online services is and how to report it.
"In the ACSC ISM, What is control identitifer ISM-0820?",,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.
"In the ACSC ISM, What is control identitifer ISM-1146?",,Personnel are advised to maintain separate work and personal accounts for online services.
"In the ACSC ISM, What is control identitifer ISM-0821?",,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.
"In the ACSC ISM, What is control identitifer ISM-0824?",,Personnel are advised not to send or receive files via unauthorised online services.
"In the ACSC ISM, What is control identitifer ISM-0432?",,Access requirements for a system and its resources are documented in its system security plan.
"In the ACSC ISM, What is control identitifer ISM-0434?",,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to a system and its resources."
"In the ACSC ISM, What is control identitifer ISM-0435?",,Personnel receive any necessary briefings before being granted access to a system and its resources.
"In the ACSC ISM, What is control identitifer ISM-0414?",,Personnel granted access to a system and its resources are uniquely identifiable.
"In the ACSC ISM, What is control identitifer ISM-0415?",,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable."
"In the ACSC ISM, What is control identitifer ISM-1583?",,Personnel who are contractors are identified as such.
"In the ACSC ISM, What is control identitifer ISM-0405?",,"Requests for unprivileged access to systems, applications and data repositories are validated when first requested."
"In the ACSC ISM, What is control identitifer ISM-1566?",,Use of unprivileged access is logged.
"In the ACSC ISM, What is control identitifer ISM-1714?",,Unprivileged access event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-1507?",,Requests for privileged access to systems and applications are validated when first requested.
"In the ACSC ISM, What is control identitifer ISM-1733?",,Requests for privileged access to data repositories are validated when first requested.
"In the ACSC ISM, What is control identitifer ISM-1508?",,Privileged access to systems and applications is limited to only what is required for users and services to undertake their duties.
"In the ACSC ISM, What is control identitifer ISM-1175?",,"Privileged user accounts are prevented from accessing the internet, email and web services."
"In the ACSC ISM, What is control identitifer ISM-1653?",,"Privileged service accounts are prevented from accessing the internet, email and web services."
"In the ACSC ISM, What is control identitifer ISM-1649?",,Just-in-time administration is used for administering systems and applications.
"In the ACSC ISM, What is control identitifer ISM-0445?",,Privileged users are assigned a dedicated privileged account to be used solely for tasks requiring privileged access.
"In the ACSC ISM, What is control identitifer ISM-1263?",,Unique privileged accounts are used for administering individual server applications.
"In the ACSC ISM, What is control identitifer ISM-1509?",,Privileged access events are logged.
"In the ACSC ISM, What is control identitifer ISM-1651?",,Privileged access event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-1650?",,Privileged account and group management events are logged.
"In the ACSC ISM, What is control identitifer ISM-1652?",,Privileged account and group management event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-0430?",,"Access to systems, applications and data repositories is removed or suspended on the same day personnel no longer have a legitimate requirement for access."
"In the ACSC ISM, What is control identitifer ISM-1591?",,"Access to systems, applications and data repositories is removed or suspended as soon as practicable when personnel are detected undertaking malicious activities."
"In the ACSC ISM, What is control identitifer ISM-1404?",,Unprivileged access to systems and applications is automatically disabled after 45 days of inactivity.
"In the ACSC ISM, What is control identitifer ISM-1648?",,Privileged access to systems and applications is automatically disabled after 45 days of inactivity.
"In the ACSC ISM, What is control identitifer ISM-1716?",,Access to data repositories is automatically disabled after 45 days of inactivity.
"In the ACSC ISM, What is control identitifer ISM-1647?",,Privileged access to systems and applications is automatically disabled after 12 months unless revalidated.
"In the ACSC ISM, What is control identitifer ISM-1734?",,Privileged access to data repositories is automatically disabled after 12 months unless revalidated.
"In the ACSC ISM, What is control identitifer ISM-0407?",,"A secure record is maintained for the life of each system covering:
• all personnel authorised to access the system, and their user identification
• who provided authorisation for access
• when access was granted
• the level of access that was granted
• when access, and the level of access, was last reviewed
• when the level of access was changed, and to what extent (if applicable)
• when access was withdrawn (if applicable)."
"In the ACSC ISM, What is control identitifer ISM-0441?",,"When personnel are granted temporary access to a system, effective controls are put in place to restrict their access to only data required for them to undertake their duties."
"In the ACSC ISM, What is control identitifer ISM-1610?",,A method of emergency access to systems is documented and tested at least once when initially implemented and each time fundamental information technology infrastructure changes occur.
"In the ACSC ISM, What is control identitifer ISM-1611?",,Break glass accounts are only used when normal authentication processes cannot be used.
"In the ACSC ISM, What is control identitifer ISM-1612?",,Break glass accounts are only used for specific authorised activities.
"In the ACSC ISM, What is control identitifer ISM-1614?",,Break glass account credentials are changed by the account custodian after they are accessed by any other party.
"In the ACSC ISM, What is control identitifer ISM-1615?",,Break glass accounts are tested after credentials are changed.
"In the ACSC ISM, What is control identitifer ISM-1613?",,Use of break glass accounts is logged.
"In the ACSC ISM, What is control identitifer ISM-1715?",,Break glass event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-0181?",,"Cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority."
"In the ACSC ISM, What is control identitifer ISM-1111?",,Fibre-optic cables are used for cabling infrastructure instead of copper cables.
"In the ACSC ISM, What is control identitifer ISM-0211?",,"A cable register is developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-0208?",,"A cable register contains the following for each cable:
• cable identifier
• cable colour
• sensitivity/classification
• source
• destination
• location
• seal numbers (if applicable)."
"In the ACSC ISM, What is control identitifer ISM-1645?",,"Floor plan diagrams are developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-1646?",,"Floor plan diagrams contain the following:
• cable paths (including ingress and egress points between floors)
• cable reticulation system and conduit paths
• floor concentration boxes
• wall outlet boxes
• network cabinets."
"In the ACSC ISM, What is control identitifer ISM-0206?",,"Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1096?",,Cables are labelled at each end with sufficient source and destination details to enable the physical identification and inspection of the cable.
"In the ACSC ISM, What is control identitifer ISM-1639?",,"Building management cables are labelled with their purpose in black writing on a yellow background, with a minimum size of 2.5 cm x 1 cm, and attached at five-metre intervals."
"In the ACSC ISM, What is control identitifer ISM-1640?",,Cables for foreign systems installed in Australian facilities are labelled at inspection points.
"In the ACSC ISM, What is control identitifer ISM-1820?",,Cables for individual systems use a consistent colour.
"In the ACSC ISM, What is control identitifer ISM-0926?",,OFFICIAL and PROTECTED cables are coloured neither salmon pink nor red.
"In the ACSC ISM, What is control identitifer ISM-1112?",,Cables are inspectable at a minimum of five-metre intervals.
"In the ACSC ISM, What is control identitifer ISM-1119?",,Cables in TOP SECRET areas are fully inspectable for their entire length.
"In the ACSC ISM, What is control identitifer ISM-1114?",,Cable bundles or conduits sharing a common cable reticulation system have a dividing partition or visible gap between each cable bundle and conduit.
"In the ACSC ISM, What is control identitifer ISM-1130?",,"In shared facilities, cables are run in an enclosed cable reticulation system."
"In the ACSC ISM, What is control identitifer ISM-1164?",,"In shared facilities, conduits or the front covers of ducts, cable trays in floors and ceilings, and associated fittings are clear plastic."
"In the ACSC ISM, What is control identitifer ISM-1115?",,Cables from cable trays to wall outlet boxes are run in flexible or plastic conduit.
"In the ACSC ISM, What is control identitifer ISM-1095?",,"Wall outlet boxes denote the systems, cable identifiers and wall outlet box identifier."
"In the ACSC ISM, What is control identitifer ISM-1822?",,Wall outlet boxes for individual systems use a consistent colour.
"In the ACSC ISM, What is control identitifer ISM-1107?",,OFFICIAL and PROTECTED wall outlet boxes are coloured neither salmon pink nor red.
"In the ACSC ISM, What is control identitifer ISM-1109?",,Wall outlet box covers are clear plastic.
"In the ACSC ISM, What is control identitifer ISM-1102?",,Cable reticulation systems leading into cabinets are terminated as close as possible to the cabinet.
"In the ACSC ISM, What is control identitifer ISM-1101?",,"In TOP SECRET areas, cable reticulation systems leading into cabinets in server rooms or communications rooms are terminated as close as possible to the cabinet."
"In the ACSC ISM, What is control identitifer ISM-1103?",,"In TOP SECRET areas, cable reticulation systems leading into cabinets not in server rooms or communications rooms are terminated at the boundary of the cabinet."
"In the ACSC ISM, What is control identitifer ISM-0248?",,System owners deploying OFFICIAL or PROTECTED systems with Radio Frequency transmitters that will be co-located with SECRET or TOP SECRET systems contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
"In the ACSC ISM, What is control identitifer ISM-0249?",,System owners deploying systems or military platforms overseas contact the ACSC for an emanation security threat assessment and implement any additional installation criteria derived from the threat assessment.
"In the ACSC ISM, What is control identitifer ISM-0246?",,An emanation security threat assessment is sought as early as possible in a system’s life cycle as implementing emanation security can have significant cost implications.
"In the ACSC ISM, What is control identitifer ISM-0250?",,ICT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.
"In the ACSC ISM, What is control identitifer ISM-1078?",,"A telephone system usage policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-0229?",,Personnel are advised of the permitted sensitivity or classification of information that can be discussed over both internal and external telephone systems.
"In the ACSC ISM, What is control identitifer ISM-0230?",,Personnel are advised of security risks posed by non-secure telephone systems in areas where sensitive or classified conversations can occur.
"In the ACSC ISM, What is control identitifer ISM-0231?",,"When using cryptographic equipment to permit different levels of conversation for different kinds of connections, telephone systems give a visual indication of what kind of connection has been made."
"In the ACSC ISM, What is control identitifer ISM-0232?",,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
"In the ACSC ISM, What is control identitifer ISM-0233?",,Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted.
"In the ACSC ISM, What is control identitifer ISM-0235?",,"Speakerphones are not used on telephone systems in TOP SECRET areas unless the telephone system is located in an audio secure room, the room is audio secure during conversations and only personnel involved in conversations are present in the room."
"In the ACSC ISM, What is control identitifer ISM-0236?",,Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
"In the ACSC ISM, What is control identitifer ISM-0931?",,"In SECRET and TOP SECRET areas, push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements."
"In the ACSC ISM, What is control identitifer ISM-1562?",,Video conferencing and IP telephony infrastructure is hardened.
"In the ACSC ISM, What is control identitifer ISM-0546?",,"When video conferencing or IP telephony traffic passes through a gateway containing a firewall or proxy, a video-aware or voice-aware firewall or proxy is used."
"In the ACSC ISM, What is control identitifer ISM-0548?",,Video conferencing and IP telephony calls are established using a secure session initiation protocol.
"In the ACSC ISM, What is control identitifer ISM-0547?",,Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.
"In the ACSC ISM, What is control identitifer ISM-0554?",,An encrypted and non-replayable two-way authentication scheme is used for call authentication and authorisation.
"In the ACSC ISM, What is control identitifer ISM-0553?",,"Authentication and authorisation is used for all actions on a video conferencing network, including call setup and changing settings."
"In the ACSC ISM, What is control identitifer ISM-0555?",,"Authentication and authorisation is used for all actions on an IP telephony network, including registering a new IP phone, changing phone users, changing settings and accessing voicemail."
"In the ACSC ISM, What is control identitifer ISM-0551?",,"IP telephony is configured such that:
• IP phones authenticate themselves to the call controller upon registration
• auto-registration is disabled and only authorised devices are allowed to access the network
• unauthorised devices are blocked by default
• all unused and prohibited functionality is disabled."
"In the ACSC ISM, What is control identitifer ISM-0549?",,Video conferencing and IP telephony traffic is separated physically or logically from other data traffic.
"In the ACSC ISM, What is control identitifer ISM-0556?",,"Workstations are not connected to video conferencing units or IP phones unless the workstation or the device uses Virtual Local Area Networks or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic."
"In the ACSC ISM, What is control identitifer ISM-0558?",,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services."
"In the ACSC ISM, What is control identitifer ISM-0559?",,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.
"In the ACSC ISM, What is control identitifer ISM-1450?",,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.
"In the ACSC ISM, What is control identitifer ISM-1019?",,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1805?",,"A denial of service response plan for video conferencing and IP telephony services contains the following:
• how to identify signs of a denial-of-service attack
• how to identify the source of a denial-of-service attack
• how capabilities can be maintained during a denial-of-service attack
• what actions can be taken to respond to a denial-of-service attack."
"In the ACSC ISM, What is control identitifer ISM-0588?",,"A fax machine and MFD usage policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1092?",,Separate fax machines or MFDs are used for sending sensitive or classified fax messages and all other fax messages.
"In the ACSC ISM, What is control identitifer ISM-0241?",,"When sending fax messages, the fax message is encrypted to an appropriate level to be communicated over unsecured telecommunications infrastructure."
"In the ACSC ISM, What is control identitifer ISM-1075?",,The sender of a fax message makes arrangements for the receiver to collect the fax message as soon as possible after it is sent and for the receiver to notify the sender if the fax message does not arrive in an agreed amount of time.
"In the ACSC ISM, What is control identitifer ISM-0590?",,Controls for MFDs connected to networks are of a similar strength to those for other devices on networks.
"In the ACSC ISM, What is control identitifer ISM-0245?",,A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected.
"In the ACSC ISM, What is control identitifer ISM-0589?",,MFDs connected to networks are not used to copy documents above the sensitivity or classification of connected networks.
"In the ACSC ISM, What is control identitifer ISM-1036?",,Fax machines and MFDs are located in areas where their use can be observed.
"In the ACSC ISM, What is control identitifer ISM-1533?",,"A mobile device management policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1195?",,A Mobile Device Management solution is used to ensure mobile device management policy is applied to all mobile devices.
"In the ACSC ISM, What is control identitifer ISM-1297?",,Legal advice is sought prior to allowing privately-owned mobile devices to access systems or data.
"In the ACSC ISM, What is control identitifer ISM-1400?",,"Personnel accessing OFFICIAL and PROTECTED systems or data using a privately-owned mobile device use an ASD-approved platform, a security configuration in accordance with ACSC guidance, and have enforced separation of work and personal data."
"In the ACSC ISM, What is control identitifer ISM-1482?",,"Personnel accessing systems or data using an organisation-owned mobile device use an ASD-approved platform, a security configuration in accordance with ACSC guidance, and have enforced separation of work and personal data."
