control,question,answer
ISM-0272,	What are some examples of protective marking tools?,"Some examples of protective marking tools include ISM-0272, ISM-0315, ISM-0468 ISM-0272"
ISM-0285,What does Evaluated products refer to? ,The evaluated product refers to the item being tested or assessed for quality and performance - ISM-0285
ISM-0285,How can you ensure that your company's IT systems are secure from hackers?,"By implementing strong passwords, using two factor authentication, updating software regularly, backing up data on a regular basis, keeping antivirus updated, installing firewalls, monitoring network traffic, restricting access to sensitive information, training employees about phishing attacks etc ISM-0285"
ISM-0289,What does control mean? ,Control refers to the ability of an organization or individual to direct or manage something - ISM-0289
ISM-0289,How can you evaluate a product's performance?,"You can evaluate a product’s performance by comparing it against other similar products or benchmarking its speed, efficiency, reliability, etc., ISM-0289"
ISM-0289,What does control mean? ,"Control refers to the ability of an organization or individual to direct outcomes through planning, organizing, leading, and controlling resources - ISM-0289"
ISM-0293,	What are some examples of ICT equipment?,"Examples include computers, servers, laptops, tablets, smartphones, printers, scanners, routers, switches, firewalls, network cables, wireless access points, etc ISM-0293"
ISM-0294,What are some examples of sensitive data? ,"Sensitive data includes personal identifiable information (PII), financial records and intellectual property - ISM-0294"
ISM-0294,	What are some examples of high assurance ICT equipment?,"High Assurance ICT Equipment includes devices such as servers, routers, switches, firewalls, wireless access points, network storage systems, etc ISM-0294"
ISM-0298,	What are some best practices in system patching?,Some best practices in system patching include using a centralized and managed approach to ensure all patches/updates are applied correctly and confirming that they were successful. ISM-0298
ISM-0304,	What should an organization do when they stop supporting applications?,"When an application stops being supported, it means there will not be any more updates or bug fixes released for it. This can leave your system vulnerable to new threats as time goes on. It's important to remove unsupported apps from your systems so you don’t expose yourself to unnecessary risk ISM-0304"
ISM-0304,What does no longer supported mean? ,"When applications are not updated or maintained, they become unsupported and may be removed from use. - ISM-0304"
ISM-0305,What are some maintenance tasks for IT equipment?,"Some common maintenance tasks include replacing batteries, cleaning fans, checking cables, updating software, and ensuring proper ventilation ISM-0305"
ISM-0305,What are some maintenance tasks for IT equipment?,"Some common maintenance tasks include replacing batteries, cleaning fans, checking cables, updating software, and performing diagnostics ISM-0305"
ISM-0305,	What are some examples of cyber security strategies?,Examples include: ISM-0305
ISM-0306,	What are some of the responsibilities of an IT manager in an enterprise environment?,"An IT Manager's responsibility includes managing staff, planning budgets, developing policies, implementing new technology, maintaining existing systems, ensuring compliance with regulations, and providing support to end users ISM-0306"
ISM-0307,What should be done if an untrained person performs maintenance on IT equipment?,The IT equipment must be cleaned first ISM-0307
ISM-0310,What are some examples of ICT equipment? ,"Examples include computers, servers, routers and switches - ISM-0310"
ISM-0311,	What are some examples of ICT equipment?,"Examples include computers, laptops, tablets, smartphones, servers, routers, switches, printers, scanners, etc ISM-0311"
ISM-0311,What does sanitise mean? ,"To make something free of germs, bacteria and other contaminants - ISM-0311"
ISM-0313,What are some of the steps involved in developing ICT equipment sanitation processes?,"The first step involves identifying all relevant stakeholders who will be affected by the process. Next, you should conduct research on existing best practices for similar organizations. Then, create a plan with clear goals and objectives. Finally, implement your new process and monitor its effectiveness over time ISM-0313"
ISM-0316,	What are some examples of ICT equipment?,"Examples include computers, laptops, tablets, smartphones, servers, routers, switches, printers, scanners, monitors, keyboards, mice, cables, etc ISM-0316"
ISM-0316,What does it mean when ICT equipment has been released?,"When ICT equipment has been released, this means that it can be used by anyone without restriction and no longer requires any special permissions for use ISM-0316"
ISM-0317,What does control description mean? ,"Control description refers to instructions for controlling something, such as a process or system - ISM-0317"
ISM-0318,What happens when you cannot sanitize your printer cartridge? ,The cartridge will be destroyed as it contains sensitive data - ISM-0318
ISM-0323,	What does ISM-0323 mean in this context?,"It means that all media must be classified according to its content, regardless of whether it contains more sensitive information than what it was originally intended to store ISM-0323"
ISM-0325,	What does this policy mean?,This policy means that any media (such as USB drives) connected to a computer with a higher level of classifications will also have those same levels of classifications applied to it ISM-0325
ISM-0330,What is the control for before reclassifying media?,Sanitation or destruction of the media followed by a formal administrative decision ISM-0330
ISM-0330,	What are some examples of media that can be reclassified from higher to lower sensitivity levels?,"Examples include unclassified information such as publicly available data, open source intelligence, and non-sensitive personal information ISM-0330"
ISM-0332,	What are some examples of internal media in IT equipment?,"Internal media can include hard drives, memory cards, flash drives, CDs/DVDs etc ISM-0332"
ISM-0336,What are some examples of ICT equipment? ,"Examples include computers, servers, routers, switches, printers, etc - ISM-0336"
ISM-0337,What does control mean? ,Control refers to the ability of a system to access and use media containing sensitive data. - ISM-0337
ISM-0337,	What does ISM-0337 mean in this context?,It means that media can only be used on systems that have been approved by the government to handle sensitive information ISM-0337
ISM-0341,How do I enable automatic execution of files on my USB drive?,"To enable automatic execution of files on your USB drive, you need to turn off the Automatic Execution feature under Control Panel > System and Security > Windows Firewall > Advanced Settings ISM-0341"
ISM-0343,	What are some ways in which you can secure your computer from malware attacks?,"	There are many different methods available to protect yourself against malicious programs on your computer. Some of these include using antivirus software, keeping all operating systems up to date with patches, avoiding suspicious websites, not clicking on links sent through email unless they have been verified as safe, and ensuring that any downloaded files come from trusted sources ISM-0343"
ISM-0343,What are some ways to disable removable media?,One way to prevent unauthorized access to removable media is through the use of device access control software. Another method is to disable external communication interfaces on computers and other devices ISM-0343
ISM-0345,	What does device access control software do?,It allows you to restrict access to devices on your network ISM-0345
ISM-0347,	What are some examples of write once media?,"Examples include CDs, DVDs, USB drives, floppy disks ISM-0347"
ISM-0348,What are some examples of media sanitization processes?,"Examples include removing sensitive data from images or videos, filtering out profanity, and blocking offensive content ISM-0348"
ISM-0348,"	What should an organization do to develop, implement and maintain media sanitation processes and procedures?","An organization should develop, implement and maintain media sanitation processes and procedures by developing policies and standards, conducting risk assessments, training employees on proper handling of sensitive information, monitoring compliance with established policies and standards, and reviewing existing practices regularly ISM-0348"
ISM-0348,What are some examples of media sanitization processes?,"Examples include removing sensitive data from images or videos, encrypting files, and deleting unnecessary metadata ISM-0348"
ISM-0350,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management framework which includes policies, procedures, processes, tools and techniques in order to identify, assess, mitigate and monitor cybersecurity threats and vulnerabilities. ISM-0350"
ISM-0351,What does it mean when volatile media is sanitized?,"When volatile media is sanitized, all of its power sources are removed for at least ten minutes ISM-0351"
ISM-0351,	What are some examples of volatile media?,"Examples of volatile media include RAM, hard drives, flash memory devices, etc ISM-0351"
ISM-0354,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts, controls, and mitigation strategies. ISM-0354"
ISM-0357,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management framework which includes identifying threats, vulnerabilities, impact analysis, mitigation strategies, monitoring and reporting. ISM-0357"
ISM-0359,	What are some examples of non-volatile flash memory media?,"Examples include USB drives, SD cards, SSDs ISM-0359"
ISM-0361,	What are some methods used in data destruction?,"Some methods used in data destruction include shredding, degaussing, incineration, pulverization, and overwriting ISM-0361"
ISM-0362,What should I do if product specific instructions for my degausser are not clear?,"If you cannot find any clarification on how to use your degausser, contact the manufacturer directly and ask them for further guidance ISM-0362"
ISM-0362,How can you destroy hard drives securely?,Hard drive data can be destroyed using several methods such as physical destruction or degaussing. Physical destruction involves shredding or crushing the device while degaussing uses magnetism to erase all information on the disk. ISM-0362
ISM-0363,What are some examples of media destruction processes? ,Examples include shredding paper documents or burning CDs/DVDs - ISM-0363
ISM-0363,"	What should an organization do to develop, implement and maintain media destruction processes and procedures?",An organization must ensure that all data on storage devices such as hard drives or USBs are destroyed in order to prevent unauthorized access to sensitive information. ISM-0363
ISM-0370,What are some examples of control descriptions? ,"Control descriptions include the destruction of media, which must be done under the supervision of someone who has been cleared for access to sensitive materials - ISM-0370"
ISM-0370,	What are some examples of media that need to be destroyed?,"Examples include paper documents, CDs/DVDs, USB drives, hard disks etc ISM-0370"
ISM-0371,What are some responsibilities of personnel who oversee the destruction of media?,"Some responsibilities of personnel who oversee the destruction of media include ensuring that all data on the device has been erased, verifying that the device cannot be reused or resold, and confirming that the device was destroyed properly ISM-0371"
ISM-0371,	What are some examples of media that can be destroyed?,"Examples of media include paper documents, CDs/DVDs, hard drives, flash memory devices, etc ISM-0371"
ISM-0372,What are the requirements for destroying classified materials? ,Controlled descriptions must be destroyed under the supervision of at least two personnel who have been cleared to handle such sensitive data - ISM-0372
ISM-0372,	What are some examples of accountable materials?,"Accountable materials include classified information, sensitive personal data, intellectual property, etc ISM-0372"
ISM-0373,	What are some examples of accountable materials?,"Accountable materials include classified information, personal data, financial records, intellectual property etc ISM-0373"
ISM-0373,What are some responsibilities for personnel supervising the destruction of media?,Some responsibilities include ensuring that the destruction is completed successfully and signing a destruction certificate afterward ISM-0373
ISM-0374,"	What should an organization do to develop, implement and maintain media disposal processes and procedures?","An organization should ensure that it has appropriate policies in place regarding media disposal, as well as developing, implementing and maintaining media disposal processes and procedures ISM-0374"
ISM-0374,What are some examples of media disposal processes? ,"Examples include shredding paper documents, erasing hard drives or destroying CDs/DVDs - ISM-0374"
ISM-0375,What does it mean when media is released into the public domain?,"When media is released into the public domain, it means that it can be freely accessed by anyone without restriction and with no copyright protection. ISM-0375"
ISM-0375,	What are some examples of media disposal methods?,"Some examples of media disposal methods include shredding, burning, pulping, crushing, melting, incineration, degaussing, and erasure ISM-0375"
ISM-0378,What does control mean? ,Control refers to the restriction of access to data by authorized users only - ISM-0378
ISM-0382,	What are some ways in which you can prevent unapproved applications from being installed on your computer?,	You can use application whitelisting tools such as AppLocker to restrict access to certain programs based on file hashes. ISM-0382
ISM-0382,Can unapproved software be installed on this system?,"No, only approved software can be installed on this system ISM-0382"
ISM-0383,What should I do if my default account/credentials have been compromised? ,Change your default accounts and credentials immediately - ISM-0383
ISM-0385,	What are some examples of functional separation in network design and configuration?,"Examples include separating administrative functions from production services, isolation of critical systems from less important ones, and segregation of data by type or sensitivity level ISM-0385"
ISM-0393,	What should organizations do to protect databases from unauthorized access?,Organizations must implement strong authentication mechanisms such as multi factor authentication (MFA) and two step verification to ensure only authorized users can gain access to sensitive information in the database ISM-0393
ISM-0401,What does secure by design mean? ,It means that security has been considered during all stages of software development - ISM-0401
ISM-0402,What is Static Application Security Testing?,Static Application Security Testing (SAST) refers to the process of identifying potential software weaknesses by analyzing source code without executing it. ISM-0402
ISM-0405,What happens if I make a request for unprivileged access?,Your request will be validated before it can be processed ISM-0405
ISM-0407,	What are some examples of cybersecurity threats?,"Examples of cybersecurity threats include malware attacks, phishing scams, ransomware infections, data breaches, denial of service attacks, social engineering attempts, and more. ISM-0407"
ISM-0408,	What are some examples of authentication hardening techniques?,Some examples of authentication hardening techniques include: ISM-0408
ISM-0408,What are some examples of systems with a logon banner? ,"Examples include Windows, MacOS, Linux, Android devices - ISM-0408"
ISM-0414,	What does this standard mean?,This standard means that all users who have been given access to a system or resource must be identified in some way so they can be held accountable for any actions taken on the system ISM-0414
ISM-0414,What does uniquely identifiable mean? ,"Uniquely identifiable means that each person has their own unique identifier, such as username or password, which allows them to be identified within a system - ISM-0414"
ISM-0415,What is the control for the use of shared user accounts?,Strictly Controlled ISM-0415
ISM-0417,	What are some examples of single factor authentication?,"	Some examples of single factor authentication include passwords, PINs, biometrics (fingerprints), tokens or smart cards ISM-0417"
ISM-0418,	What does ISM-0418 mean in this context?,It means Information Security Management - Standard 0418 ISM-0418
ISM-0418,What does credentials refer to? ,The credentials refers to any type of information required by a system or service to verify identity and/or access rights - ISM-0418
ISM-0428,What does session mean? ,"Session refers to a period of time during which a user interacts with a system, such as logging into their account and performing tasks on it - ISM-0428"
ISM-0428,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts, controls, and mitigation strategies. ISM-0428"
ISM-0430,"What happens when access to systems, applications and data repositories are removed? ",The user will not be able to use those resources anymore - ISM-0430
ISM-0430,	What are some examples of information security policies?,Examples include: ISM-0430
ISM-0432,	What are some examples of system access requirements?,Examples include: ISM-0432
ISM-0432,What is a System Security Plan? ,"The System Security Plan (SSP) defines how access requirements for a system and its resources will be implemented, monitored, and controlled. - ISM-0432"
ISM-0434,	What are some examples of appropriate employment screenings?,"Examples include background checks, drug tests, credit reports, criminal record checks, etc ISM-0434"
ISM-0435,What are some of the requirements for accessing a computer system?,"Before personnel can be given access to a computer system, they must first undergo training on how to use it properly. They also need to sign off on certain policies regarding data security and privacy. ISM-0435"
ISM-0435,What are some of the requirements for accessing a computer system?,"Before gaining access to a computer system, personnel must be given any necessary briefings on how to use it safely and securely ISM-0435"
ISM-0435,	What are some examples of system access requirements?,Examples include: - Briefing on policies and procedures - Training in use of the system ISM-0435
ISM-0445,What is a privileged user? ,"A privileged user is someone who has been granted special permissions or rights, such as administrative privileges on a computer system - ISM-0445"
ISM-0455,	What are some examples of situations when it may not be possible to recover encrypted information using cryptography?,	Some examples include: ISM-0455
ISM-0459,What does full disk encryption do? ,It ensures all of your files are protected from unauthorized access and prevents anyone from accessing them without proper authorization - ISM-0459
ISM-0459,	What are some methods used in implementing full disk encryption?,"	Full Disk Encryption (FDE) uses cryptography techniques such as hashing algorithms, symmetric key encryption, asymmetric key encryption, etc., to protect data stored on hard drives from unauthorized access ISM-0459"
ISM-0459,What does full disk encryption do? ,It ensures all data on your computer's hard drive is secure and protected from unauthorized access - ISM-0459
ISM-0459,What does full disk encryption do? ,It ensures all data on your computer's hard drive is protected from unauthorized access by using strong cryptographic algorithms and keys - ISM-0459
ISM-0462,	What does ISM-0462 mean?,It means Information Security Management - Standard 0462 ISM-0462
ISM-0469,	What are some examples of encryption algorithms?,"Some examples of encryption algorithms include DES, RSA, Blowfish, TwoFish, RC5, IDEA, AES, SHA1/SHA2, MD5, etc ISM-0469"
ISM-0471,What type of encryption should be used for sensitive data?,"High-assurance cryptography, such as Advanced Encryption Standard (AES), must be used when encrypting sensitive data ISM-0471"
ISM-0471,	What does ISM-0471 mean in this context?,It means using only Approved Cryptographic Algorithms (AACAs) or High Assurance Cryptographic Algorithms ISM-0471
ISM-0472,	What is the recommended size of the modulus when using DH for agreeing on encryption session keys?,The recommended size of the modulus when using DH for agreeing on encryption session keys is 2048 bits ISM-0472
ISM-0474,	What is the preferred key length when using elliptical curves in cryptography?,The preferred key length when using elliptical curves in cryptography is 256 bits ISM-0474
ISM-0475,	What is the preferred key length when using ECDSA for digital signatures?,The preferred key length when using ECDSA for digital signatures is 224 bits ISM-0475
ISM-0476,	What are some ASD-approved cryptographic algorithms?,"	Using Rivest-Shamir-Adleman (RSA), Advanced Encryption Standard (AES) ISM-0476"
ISM-0477,	What are some advantages of using Rivest-Shamir-Adleman (RSA) when signing data with asymmetric cryptography?,The main advantage of using Rivest-Shamir-Adleman (RSA) when signing data with asymmetric cryptography is its ability to provide strong authentication between two parties without having to share any secret information in advance. ISM-0477
ISM-0479,	What is the use of symmetric encryption algorithms?,	Symmetric encryption algorithms are used when there is no need for authentication or confidentiality between two parties communicating with each other ISM-0479
ISM-0481,	What does ISM-0481 stand for?,	It stands for Information Security Manual - 0481 ISM-0481
ISM-0481,What does high assurance mean?,"High Assurance means that the system has been designed, implemented, tested, and evaluated according to strict security standards ISM-0481"
ISM-0484,What does sshd do? ,It allows users to connect securely over TCP/IP networks - ISM-0484
ISM-0484,	What are some ways in which you can secure your shell environment?,"	There are several ways to secure your shell environment such as enabling password authentication, disabling direct access to root account, disabling empty passwords, etc ISM-0484"
ISM-0485,	What are some authentication mechanisms in Secure Shell (SSH)?,	Public Key based authentication ISM-0485
ISM-0487,	What are some ways in which secure shell can be used for automated remote access?,Secure Shell (SSH) provides encrypted communication between two computers over a network. It allows users to execute commands on a remote computer as if they were sitting at its terminal. ISM-0487
ISM-0488,	What does 'forced command' mean in Secure Shell (SSH)?,Forced Command means that you can force a specific command to run on your server even if it has not been requested by the user. ISM-0488
ISM-0489,	What does this mean?,"This means that when using SSH-Agent or other key caching programs on your system, you must ensure that there is some form of locking mechanism (such as a password) on all systems where these keys will reside. ISM-0489"
ISM-0490,	What versions of S/MIME can be used for S/MIME connections?,	S/MIME version 3.0 or later ISM-0490
ISM-0494,	What is the mode of operation in Internet Protocol Security (IPSec)?,The mode of operation in Internet Protocol Security (IPSec) is Transport or Tunnel ISM-0494
ISM-0494,What is the difference between tunnel and transport modes?,Transport mode uses an IP tunnel while tunnel mode does not use one ISM-0494
ISM-0496,What is the purpose of the ESP protocol?,The ESP protocol is used for authentication and encryption of IPsec connections ISM-0496
ISM-0496,	What are some examples of Internet Protocol Security (IPSec) protocols?,	The most common example of IPSec protocol is Encapsulating Security Payload (ESP). ISM-0496
ISM-0498,What is the maximum time allowed between two IPSec connections?,"The maximum time allowed between two IPSec connections is 14,400 seconds or approximately 375 minutes ISM-0498"
ISM-0498,	What is the maximum time allowed between two consecutive packets in a TCP connection?,The maximum time allowed between two consecutive packets in a TCP connection is one second ISM-0498
ISM-0498,What is the maximum time allowed between two IPSec connections?,"The maximum time allowed between two IPSec connections is 14,400 seconds or approximately 372 minutes ISM-0498"
ISM-0501,	What are some examples of sensitive information that must be protected when it comes to data encryption?,"Sensitive information such as credit card numbers, social security numbers, passwords, etc., need to be encrypted in order to protect them from unauthorized access ISM-0501"
ISM-0507,"	What should an organization do to develop, implement and maintain crypto key management processes and procedures?","An organization must ensure that all cryptographic keys used in its systems are securely managed throughout their lifecycle. This includes developing policies and procedures around key generation, distribution, storage, use, destruction, auditing, and archival. ISM-0507"
ISM-0507,What does cryptographic key management mean? ,It refers to the process of managing cryptographic keys used for encryption or decryption - ISM-0507
ISM-0516,	What are some examples of network documentation?,"Examples of network documentation include high level network diagrams showing all connections into networks and logical network diagrams showing all critical servers, high value servers, network devices and network security appliances ISM-0516"
ISM-0518,	What are some examples of network documentation?,"Examples of network documentation include network diagrams, network policies, user guides, and change control procedures ISM-0518"
ISM-0518,What are some examples of network documentation? ,Examples include user guides and configuration files - ISM-0518
ISM-0520,What is a network access control? ,Network access controls are implemented on networks to prevent the connection of unauthorized network devices - ISM-0520
ISM-0520,	What are some examples of network access control policies?,Examples include: Allowing only authorized users or devices to connect to the network; Requiring all connections to go through a firewall; Limiting which services can run on each device connected to the network ISM-0520
