instruction,input,output
In the ACSC ISM What are some ways in which organizations can develop a cybersecurity incident register?,,"Organizations can develop a cybersecurity incident register by creating a list of all possible threats or attacks on information systems and networks. This will help them identify potential vulnerabilities and take necessary steps to prevent such attacks from occurring. ISM-0125. A cyber security incident register is developed, implemented and maintained."
In the ACSC ISM How can organizations respond to cybersecurity incidents?,,"Organizations need to have incident management plans in place so they know how to handle different types of attacks or breaches. They also need to ensure that all employees understand what constitutes a threat and how to report it if necessary. ISM-0133. When a data spill occurs, data owners are advised and access to the data is restricted."
In the ACSC ISM What should you do when a data spill occurs?,,"When a data spill occurs, data owners are advised and access to the data is restricted - ISM-0133. When a data spill occurs, data owners are advised and access to the data is restricted."
In the ACSC ISM What are some ways in which organizations can respond to cybersecurity incidents?,,"Organizations can respond to cybersecurity incidents by taking appropriate actions such as identifying the source of attack, analyzing the impact of the incident, notifying relevant authorities, implementing necessary countermeasures, and recovering from any damage caused due to the incident ISM-0137. Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence."
In the ACSC ISM What are some ways in which you can ensure the integrity of evidence collected from a computer system?,,"	The first step would be to record every action taken while collecting data or information from a computer system. This will help establish a clear chain of custody as well as provide proof if any discrepancies arise later on. It also helps to follow all instructions given by the appropriate authorities when handling such cases. ISM-0138. The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies."
In the ACSC ISM How can organizations report cybersecurity incidents to the Australian Cyber Security Centre (ACSC)?,,Organizations can report cybersecurity incidents to the ACSC by contacting them through email or phone call ISM-0140. Cyber security incidents are reported to the ACSC.
In the ACSC ISM What should be done with unused IT equipment?,,"Unused IT equipment should be stored securely, such as locked cabinets or rooms - ISM-0161. ICT equipment and media are secured when not in use."
In the ACSC ISM How can we prevent unauthorized people from observing system displays and keyboards within our facility?,,"We can use privacy screens on monitors or partitions between desk areas to prevent unauthorized people from viewing computer displays. ISM-0164. Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
In the ACSC ISM What are some of the requirements for cabling infrastructure?,,"The cabling infrastructure must be installed according to relevant Australian standards, as directed by the Australian Communications and Media Authority ISM-0181. Cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority."
In the ACSC ISM What are some cabling infrastructure standards?,,"Some cabling infrastructure standards include ISM-0181 ISM-0181. Cabling infrastructure is installed in accordance with relevant Australian Standards, as directed by the Australian Communications and Media Authority."
"In the ACSC ISM What should an organization do to develop, implement and maintain cable labelling processes and procedures?",,"An organization should ensure that all cables are labelled properly with clear identification information such as name, location, purpose etc. ISM-0206. Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
In the ACSC ISM How can you support cable labelling procedures?,,"You can provide training on how to use equipment for labelling cables, as well as create documentation outlining best practices. ISM-0206. Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of cable labelling processes?,,"Examples include colour coding, barcode printing, and label placement. ISM-0206. Cable labelling processes, and supporting cable labelling procedures, are developed, implemented and maintained."
In the ACSC ISM What does a Cable Register contain?,,"A Cable Register contains the following for each cable: ISM-0208. A cable register contains the following for each cable:
• cable identifier
• cable colour
• sensitivity/classification
• source
• destination
• location
• seal numbers (if applicable)."
In the ACSC ISM What are the components of a cable register?,,"The components of a cable register include: ISM-0208. A cable register contains the following for each cable:
• cable identifier
• cable colour
• sensitivity/classification
• source
• destination
• location
• seal numbers (if applicable)."
In the ACSC ISM What are some ways in which you can develop a cable register?,,"	To create a cable register, it's important to document all cables used by your company. This includes both active and passive cables. You also need to keep track of where each cable runs so that they can easily be found if needed. ISM-0211. A cable register is developed, implemented, maintained and verified on a regular basis."
In the ACSC ISM What is a Cable Register?,,"A Cable Register is a document used for recording all cables installed within a facility or network infrastructure. ISM-0211. A cable register is developed, implemented, maintained and verified on a regular basis."
In the ACSC ISM What are some ways in which telephone systems can protect conversations?,,	One way in which telephone systems can protect conversations is by using encryption. Encryption ensures that only authorized parties have access to information being transmitted through the system ISM-0232. Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
In the ACSC ISM What are telephone systems used for sensitive or classified conversations?,,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems ISM-0232. Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.
In the ACSC ISM What type of communication should cordless telephones be used for?,,"Cordless telephones can only be used for non-sensitive, unclassified conversations ISM-0233. Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted."
In the ACSC ISM What does off-hook audio protection feature do?,,It protects sensitive information from being heard by unauthorized parties when the phone line is not in use ISM-0236. Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
In the ACSC ISM What does off-hook audio protection feature do?,,It protects sensitive and classified calls from being overheard by unauthorized parties ISM-0236. Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
In the ACSC ISM What types of communication should be avoided when sending sensitive or classified data?,,"Sensitive or classified data should never be sent using paging, multimedia message service (MMS), short message service (SMS) or any other type of messaging app ISM-0240. Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data."
In the ACSC ISM What does direct connection mean?,,"Direct connection refers to a communication channel between two devices without any intermediate components, such as routers and switches ISM-0245. A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected."
In the ACSC ISM What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,,"An organization must develop a comprehensive risk management program that includes policies, procedures, processes, and controls to identify, assess, mitigate, monitor, and communicate information security threats and vulnerabilities in order to minimize potential damage resulting from attacks on its IT infrastructure ISM-0245. A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected."
In the ACSC ISM What are some examples of emanations security threats?,,"	Some examples include electromagnetic radiation (EMR), radio frequency interference (RFI) and electrostatic discharge (ESD). ISM-0246. An emanation security threat assessment is sought as early as possible in a system’s life cycle as implementing emanation security can have significant cost implications."
In the ACSC ISM What are some examples of emanations security threats?,,"Examples include malicious software, viruses, worms, spyware, adware, ransomware, phishing attacks, denial of service (DoS) attacks, man in the middle attacks, social engineering attacks, etc ISM-0250. ICT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility."
In the ACSC ISM What does ICT stand for?,,Information Communication Technology - ISM-0250. ICT equipment meets industry and government standards relating to electromagnetic interference/electromagnetic compatibility.
In the ACSC ISM What are some of the topics covered during cybersecurity awareness training?,,"Some of the topics covered include phishing, social engineering attacks, password management, data protection, physical security, etc ISM-0252. Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources."
In the ACSC ISM What are some examples of web proxy policies?,,"Examples include blocking access to social media sites during work hours or restricting access to certain websites based on content type (e.g., pornography). ISM-0258. A web usage policy is developed, implemented and maintained."
In the ACSC ISM What are some steps involved in developing a web usage policy?,,"The first step involves identifying what type of policies need to be created for your organization's website. Next you should create a list of all the rules and regulations that will govern how users interact with the site. Then you can begin drafting the actual document itself by writing down each rule as clearly as possible so there is no confusion about what is expected from employees or visitors. Finally, once the policy has been written it needs to be reviewed by legal counsel before being finalized and distributed throughout the company ISM-0258. A web usage policy is developed, implemented and maintained."
In the ACSC ISM What are some steps involved in developing a web usage policy?,,"The first step involves identifying what type of policies need to be created for your organization's website. Next you should create a list of all the rules and regulations that will govern how users interact with the site. Then you can begin drafting the actual document itself by writing down each rule as clearly as possible. Finally, once it has been written, reviewed, edited, and approved, implement the new policy on your website so everyone knows about it ISM-0258. A web usage policy is developed, implemented and maintained."
In the ACSC ISM What does ISM-0260 mean in this context?,,"It means all web access, including that by internal servers, is conducted through web proxies ISM-0260. All web access, including that by internal servers, is conducted through web proxies."
In the ACSC ISM What does web proxy mean?,,"A web proxy is used for controlling and monitoring all internet traffic on a network ISM-0260. All web access, including that by internal servers, is conducted through web proxies."
In the ACSC ISM What kind of data does a proxy log?,,"A proxy logs information about websites visited, including IP addresses and timestamps ISM-0261. The following details are logged for websites accessed via web proxies:
• address
• date and time
• user
• amount of data uploaded and downloaded
• internal and external IP addresses."
In the ACSC ISM What information does a web proxy log when accessing a website?,,"	The web proxy logs the address, date and time, user, amount of data uploaded and downloaded, as well as the internal and external IP addresses ISM-0261. The following details are logged for websites accessed via web proxies:
• address
• date and time
• user
• amount of data uploaded and downloaded
• internal and external IP addresses."
In the ACSC ISM What does ISM-0263 refer to in this context?,,	ISM-0263 refers to Internet Service Management standard number 0263 ISM-0263. TLS traffic communicated through gateways is decrypted and inspected.
In the ACSC ISM What are some examples of policies in an email usage policy?,,"Examples of policies include rules on sending emails outside the company network or using personal devices to send work related emails ISM-0264. An email usage policy is developed, implemented and maintained."
In the ACSC ISM What are some steps involved in developing an email usage policy?,,"The first step involves identifying stakeholders who will be affected by the new policy. Next, you should conduct research on existing policies at other organizations. Then, create a draft of your proposed policy and circulate it for feedback from all relevant parties. Finally, implement the final version of the policy and monitor its effectiveness over time ISM-0264. An email usage policy is developed, implemented and maintained."
In the ACSC ISM How do I access my email?,,You can use your approved browser or mobile device to access your email account - ISM-0267. Access to non-approved webmail services is blocked.
In the ACSC ISM How do I access my email?,,You can use your approved browser or mobile device to connect to our secure portal for accessing your emails - ISM-0267. Access to non-approved webmail services is blocked.
In the ACSC ISM What are some examples of approved webmail services?,,"	Examples include Gmail, Yahoo Mail, Outlook, etc ISM-0267. Access to non-approved webmail services is blocked."
In the ACSC ISM What does Protective Marking mean?,,"Protective Marking refers to the application of security controls on email content such as confidentiality, integrity, availability, etc., based on its level of sensitivity or classification - ISM-0270. Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments."
In the ACSC ISM What does ISM-0270 mean in terms of email protection?,,"	It means that the content of this message contains sensitive information which requires special handling ISM-0270. Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments."
In the ACSC ISM How can you ensure your email contains appropriate protection marks when sending sensitive information over email?,,You can use a tool such as ISM-0271 which will help you add proper protections to your message ISM-0271. Protective marking tools do not automatically insert protective markings into emails.
In the ACSC ISM What are some of the features of protective marking tools?,,"Protective marking tools allow users to add security labels and classification marks to documents, such as Confidential or Top Secret. ISM-0271. Protective marking tools do not automatically insert protective markings into emails."
In the ACSC ISM What are some examples of protective markings?,,"Examples include Confidential, Restricted and Secret. - ISM-0272. Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate."
In the ACSC ISM What are some examples of protective marking tools?,,"Some examples of protective marking tools include ISM-0272, ISM-0315, ISM-0468 ISM-0272. Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate."
In the ACSC ISM What does Evaluated products refer to?,,The evaluated product refers to the item being tested or assessed for quality and performance - ISM-0285. Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.
In the ACSC ISM How can you ensure that your company's IT systems are secure from hackers?,,"By implementing strong passwords, using two factor authentication, updating software regularly, backing up data on a regular basis, keeping antivirus updated, installing firewalls, monitoring network traffic, restricting access to sensitive information, training employees about phishing attacks etc ISM-0285. Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation."
In the ACSC ISM What does control mean?,,"Control refers to the ability of an organization or individual to direct or manage something - ISM-0289. Evaluated products are installed, configured, administered and operated in accordance with vendor guidance and evaluation documentation."
In the ACSC ISM How can you evaluate a product's performance?,,"You can evaluate a product’s performance by comparing it against other similar products or benchmarking its speed, efficiency, reliability, etc., ISM-0289. Evaluated products are installed, configured, administered and operated in accordance with vendor guidance and evaluation documentation."
In the ACSC ISM What does control mean?,,"Control refers to the ability of an organization or individual to direct outcomes through planning, organizing, leading, and controlling resources - ISM-0289. Evaluated products are installed, configured, administered and operated in accordance with vendor guidance and evaluation documentation."
In the ACSC ISM What are some examples of ICT equipment?,,"Examples include computers, servers, laptops, tablets, smartphones, printers, scanners, routers, switches, firewalls, network cables, wireless access points, etc ISM-0293. ICT equipment is classified based on the highest sensitivity or classification of data that it is approved for processing, storing or communicating."
In the ACSC ISM What are some examples of sensitive data?,,"Sensitive data includes personal identifiable information (PII), financial records and intellectual property - ISM-0294. ICT equipment, with the exception of high assurance ICT equipment, is labelled with protective markings reflecting its sensitivity or classification."
In the ACSC ISM What are some examples of high assurance ICT equipment?,,"High Assurance ICT Equipment includes devices such as servers, routers, switches, firewalls, wireless access points, network storage systems, etc ISM-0294. ICT equipment, with the exception of high assurance ICT equipment, is labelled with protective markings reflecting its sensitivity or classification."
In the ACSC ISM What are some best practices in system patching?,,"Some best practices in system patching include using a centralized and managed approach to ensure all patches/updates are applied correctly and confirming that they were successful. ISM-0298. A centralised and managed approach that maintains the integrity of patches or updates, and confirms that they have been applied successfully, is used to patch or update applications, operating systems, drivers and firmware."
In the ACSC ISM What should an organization do when they stop supporting applications?,,"When an application stops being supported, it means there will not be any more updates or bug fixes released for it. This can leave your system vulnerable to new threats as time goes on. It's important to remove unsupported apps from your systems so you don’t expose yourself to unnecessary risk ISM-0304. Applications that are no longer supported by vendors are removed."
In the ACSC ISM What does no longer supported mean?,,"When applications are not updated or maintained, they become unsupported and may be removed from use. - ISM-0304. Applications that are no longer supported by vendors are removed."
In the ACSC ISM What are some maintenance tasks for IT equipment?,,"Some common maintenance tasks include replacing batteries, cleaning fans, checking cables, updating software, and ensuring proper ventilation ISM-0305. Maintenance and repairs of ICT equipment is carried out on site by an appropriately cleared technician."
In the ACSC ISM What are some maintenance tasks for IT equipment?,,"Some common maintenance tasks include replacing batteries, cleaning fans, checking cables, updating software, and performing diagnostics ISM-0305. Maintenance and repairs of ICT equipment is carried out on site by an appropriately cleared technician."
In the ACSC ISM What are some examples of cyber security strategies?,,Examples include: ISM-0305. Maintenance and repairs of ICT equipment is carried out on site by an appropriately cleared technician.
In the ACSC ISM What are some of the responsibilities of an IT manager in an enterprise environment?,,"An IT Manager's responsibility includes managing staff, planning budgets, developing policies, implementing new technology, maintaining existing systems, ensuring compliance with regulations, and providing support to end users ISM-0306. If an uncleared technician is used to undertake maintenance or repairs of ICT equipment, the technician is escorted by someone who:
• is appropriately cleared and briefed
• takes due care to ensure that data is not disclosed
• takes all responsible measures to ensure the integrity of the ICT equipment
• has the authority to direct the technician
• is sufficiently familiar with the ICT equipment to understand the work being performed."
In the ACSC ISM What should be done if an untrained person performs maintenance on IT equipment?,,"The IT equipment must be cleaned first ISM-0307. If an uncleared technician is used to undertake maintenance or repairs of ICT equipment, the ICT equipment and associated media is sanitised before maintenance or repair work is undertaken."
In the ACSC ISM What are some examples of ICT equipment?,,"Examples include computers, servers, routers and switches - ISM-0310. ICT equipment maintained or repaired off site is done so at facilities approved for handling the sensitivity or classification of the ICT equipment."
In the ACSC ISM What are some examples of ICT equipment?,,"Examples include computers, laptops, tablets, smartphones, servers, routers, switches, printers, scanners, etc ISM-0311. ICT equipment containing media is sanitised by removing the media from the ICT equipment or by sanitising the media in situ."
In the ACSC ISM What does sanitise mean?,,"To make something free of germs, bacteria and other contaminants - ISM-0311. ICT equipment containing media is sanitised by removing the media from the ICT equipment or by sanitising the media in situ."
In the ACSC ISM What are some of the steps involved in developing ICT equipment sanitation processes?,,"The first step involves identifying all relevant stakeholders who will be affected by the process. Next, you should conduct research on existing best practices for similar organizations. Then, create a plan with clear goals and objectives. Finally, implement your new process and monitor its effectiveness over time ISM-0313. ICT equipment sanitisation processes, and supporting ICT equipment sanitisation procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of ICT equipment?,,"Examples include computers, laptops, tablets, smartphones, servers, routers, switches, printers, scanners, monitors, keyboards, mice, cables, etc ISM-0316. Following sanitisation, destruction or declassification, a formal administrative decision is made to release ICT equipment, or its waste, into the public domain."
In the ACSC ISM What does it mean when ICT equipment has been released?,,"When ICT equipment has been released, this means that it can be used by anyone without restriction and no longer requires any special permissions for use ISM-0316. Following sanitisation, destruction or declassification, a formal administrative decision is made to release ICT equipment, or its waste, into the public domain."
In the ACSC ISM What does control description mean?,,"Control description refers to instructions for controlling something, such as a process or system - ISM-0317. At least three pages of random text with no blank areas are printed on each colour printer cartridge or MFD print drum."
In the ACSC ISM What happens when you cannot sanitize your printer cartridge?,,"The cartridge will be destroyed as it contains sensitive data - ISM-0318. When unable to sanitise printer cartridges or MFD print drums, they are destroyed as per electrostatic memory devices."
In the ACSC ISM What does ISM-0323 mean in this context?,,"It means that all media must be classified according to its content, regardless of whether it contains more sensitive information than what it was originally intended to store ISM-0323. Media is classified to the highest sensitivity or classification of data it stores, unless the media has been classified to a higher sensitivity or classification."
In the ACSC ISM What does this policy mean?,,"This policy means that any media (such as USB drives) connected to a computer with a higher level of classifications will also have those same levels of classifications applied to it ISM-0325. Any media connected to a system with a higher sensitivity or classification than the media is reclassified to the higher sensitivity or classification, unless the media is read-only or the system has a mechanism through which read-only access can be ensured."
In the ACSC ISM What is the control for before reclassifying media?,,"Sanitation or destruction of the media followed by a formal administrative decision ISM-0330. Before reclassifying media to a lower sensitivity or classification, the media is sanitised or destroyed, and a formal administrative decision is made to reclassify it."
In the ACSC ISM What are some examples of media that can be reclassified from higher to lower sensitivity levels?,,"Examples include unclassified information such as publicly available data, open source intelligence, and non-sensitive personal information ISM-0330. Before reclassifying media to a lower sensitivity or classification, the media is sanitised or destroyed, and a formal administrative decision is made to reclassify it."
In the ACSC ISM What are some examples of internal media in IT equipment?,,"Internal media can include hard drives, memory cards, flash drives, CDs/DVDs etc ISM-0332. Media, with the exception of internally mounted fixed media within ICT equipment, is labelled with protective markings reflecting its sensitivity or classification."
In the ACSC ISM What are some examples of ICT equipment?,,"Examples include computers, servers, routers, switches, printers, etc - ISM-0336. An ICT equipment register is developed, implemented, maintained and verified on a regular basis."
In the ACSC ISM What does control mean?,,"Control refers to the ability of a system to access and use media containing sensitive data. - ISM-0337. Media is only used with systems that are authorised to process, store or communicate its sensitivity or classification."
In the ACSC ISM What does ISM-0337 mean in this context?,,"It means that media can only be used on systems that have been approved by the government to handle sensitive information ISM-0337. Media is only used with systems that are authorised to process, store or communicate its sensitivity or classification."
In the ACSC ISM How do I enable automatic execution of files on my USB drive?,,"To enable automatic execution of files on your USB drive, you need to turn off the Automatic Execution feature under Control Panel > System and Security > Windows Firewall > Advanced Settings ISM-0341. Automatic execution features for removable media are disabled."
In the ACSC ISM What are some ways in which you can secure your computer from malware attacks?,,"	There are many different methods available to protect yourself against malicious programs on your computer. Some of these include using antivirus software, keeping all operating systems up to date with patches, avoiding suspicious websites, not clicking on links sent through email unless they have been verified as safe, and ensuring that any downloaded files come from trusted sources ISM-0343. If there is no business requirement for writing to removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces."
In the ACSC ISM What are some ways to disable removable media?,,"One way to prevent unauthorized access to removable media is through the use of device access control software. Another method is to disable external communication interfaces on computers and other devices ISM-0343. If there is no business requirement for writing to removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces."
In the ACSC ISM What does device access control software do?,,It allows you to restrict access to devices on your network ISM-0345. External communication interfaces that allow DMA are disabled.
In the ACSC ISM What are some examples of write once media?,,"Examples include CDs, DVDs, USB drives, floppy disks ISM-0347. When transferring data manually between two systems belonging to different security domains, write-once media is used unless the destination system has a mechanism through which read-only access can be ensured."
In the ACSC ISM What are some examples of media sanitization processes?,,"Examples include removing sensitive data from images or videos, filtering out profanity, and blocking offensive content ISM-0348. Media sanitisation processes, and supporting media sanitisation procedures, are developed, implemented and maintained."
"In the ACSC ISM What should an organization do to develop, implement and maintain media sanitation processes and procedures?",,"An organization should develop, implement and maintain media sanitation processes and procedures by developing policies and standards, conducting risk assessments, training employees on proper handling of sensitive information, monitoring compliance with established policies and standards, and reviewing existing practices regularly ISM-0348. Media sanitisation processes, and supporting media sanitisation procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of media sanitization processes?,,"Examples include removing sensitive data from images or videos, encrypting files, and deleting unnecessary metadata ISM-0348. Media sanitisation processes, and supporting media sanitisation procedures, are developed, implemented and maintained."
In the ACSC ISM What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,,"An organization must develop a comprehensive risk management framework which includes policies, procedures, processes, tools and techniques in order to identify, assess, mitigate and monitor cybersecurity threats and vulnerabilities. ISM-0350. The following media types are destroyed prior to their disposal:
• microfiche and microfilm
• optical discs
• programmable read-only memory
• read-only memory
• other types of media that cannot be sanitised."
In the ACSC ISM What does it mean when volatile media is sanitized?,,"When volatile media is sanitized, all of its power sources are removed for at least ten minutes ISM-0351. Volatile media is sanitised by removing its power for at least 10 minutes."
In the ACSC ISM What are some examples of volatile media?,,"Examples of volatile media include RAM, hard drives, flash memory devices, etc ISM-0351. Volatile media is sanitised by removing its power for at least 10 minutes."
In the ACSC ISM What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,,"An organization must develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts, controls, and mitigation strategies. ISM-0354. Non-volatile magnetic media is sanitised by overwriting it at least once (or three times if pre-2001 or under 15 GB) in its entirety with a random pattern followed by a read back for verification."
In the ACSC ISM What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,,"An organization must develop a comprehensive risk management framework which includes identifying threats, vulnerabilities, impact analysis, mitigation strategies, monitoring and reporting. ISM-0357. Non-volatile EPROM media is sanitised by applying three times the manufacturer’s specified ultraviolet erasure time and then overwriting it at least once in its entirety with a random pattern followed by a read back for verification."
In the ACSC ISM What are some examples of non-volatile flash memory media?,,"Examples include USB drives, SD cards, SSDs ISM-0359. Non-volatile flash memory media is sanitised by overwriting it at least twice in its entirety with a random pattern followed by a read back for verification."
In the ACSC ISM What are some methods used in data destruction?,,"Some methods used in data destruction include shredding, degaussing, incineration, pulverization, and overwriting ISM-0361. Magnetic media is destroyed using a degausser with a suitable magnetic field strength and magnetic orientation."
In the ACSC ISM What should I do if product specific instructions for my degausser are not clear?,,"If you cannot find any clarification on how to use your degausser, contact the manufacturer directly and ask them for further guidance ISM-0362. Product-specific directions provided by degausser manufacturers are followed."
In the ACSC ISM How can you destroy hard drives securely?,,Hard drive data can be destroyed using several methods such as physical destruction or degaussing. Physical destruction involves shredding or crushing the device while degaussing uses magnetism to erase all information on the disk. ISM-0362. Product-specific directions provided by degausser manufacturers are followed.
In the ACSC ISM What are some examples of media destruction processes?,,"Examples include shredding paper documents or burning CDs/DVDs - ISM-0363. Media destruction processes, and supporting media destruction procedures, are developed, implemented and maintained."
"In the ACSC ISM What should an organization do to develop, implement and maintain media destruction processes and procedures?",,"An organization must ensure that all data on storage devices such as hard drives or USBs are destroyed in order to prevent unauthorized access to sensitive information. ISM-0363. Media destruction processes, and supporting media destruction procedures, are developed, implemented and maintained."
In the ACSC ISM What are some examples of control descriptions?,,"Control descriptions include the destruction of media, which must be done under the supervision of someone who has been cleared for access to sensitive materials - ISM-0370. The destruction of media is performed under the supervision of at least one person cleared to its sensitivity or classification."
In the ACSC ISM What are some examples of media that need to be destroyed?,,"Examples include paper documents, CDs/DVDs, USB drives, hard disks etc ISM-0370. The destruction of media is performed under the supervision of at least one person cleared to its sensitivity or classification."
In the ACSC ISM What are some responsibilities of personnel who oversee the destruction of media?,,"Some responsibilities of personnel who oversee the destruction of media include ensuring that all data on the device has been erased, verifying that the device cannot be reused or resold, and confirming that the device was destroyed properly ISM-0371. Personnel supervising the destruction of media supervise its handling to the point of destruction and ensure that the destruction is completed successfully."
In the ACSC ISM What are some examples of media that can be destroyed?,,"Examples of media include paper documents, CDs/DVDs, hard drives, flash memory devices, etc ISM-0371. Personnel supervising the destruction of media supervise its handling to the point of destruction and ensure that the destruction is completed successfully."
